# phi_b	z_b	k
4.712388980384689674e+00	1.000000000000000000e+00	1.530000000000000000e+02
5.497787143782137953e+00	-1.000000000000000000e+00	1.450000000000000000e+02
5.497787143782137953e+00	-7.500000000000000000e-01	2.250000000000000000e+02
5.497787143782137953e+00	-5.000000000000000000e-01	2.360000000000000000e+02
5.497787143782137953e+00	-2.500000000000000000e-01	2.440000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	2.540000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	2.470000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	2.480000000000000000e+02
5.497787143782137953e+00	7.500000000000000000e-01	2.200000000000000000e+02
5.497787143782137953e+00	1.000000000000000000e+00	1.550000000000000000e+02
6.283185307179586232e+00	-1.000000000000000000e+00	1.630000000000000000e+02
6.283185307179586232e+00	-7.500000000000000000e-01	2.430000000000000000e+02
6.283185307179586232e+00	-5.000000000000000000e-01	2.750000000000000000e+02
6.283185307179586232e+00	-2.500000000000000000e-01	2.880000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	2.890000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	2.890000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	2.750000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	2.510000000000000000e+02
6.283185307179586232e+00	1.000000000000000000e+00	1.740000000000000000e+02
