# phi_b	z_b	k
5.497787143782137953e+00	7.500000000000000000e-01	1.510000000000000000e+02
5.497787143782137953e+00	1.000000000000000000e+00	8.100000000000000000e+01
6.283185307179586232e+00	-1.000000000000000000e+00	2.290000000000000000e+02
6.283185307179586232e+00	-7.500000000000000000e-01	2.840000000000000000e+02
6.283185307179586232e+00	-5.000000000000000000e-01	2.940000000000000000e+02
6.283185307179586232e+00	-2.500000000000000000e-01	2.930000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	2.700000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	2.550000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	2.260000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	1.870000000000000000e+02
6.283185307179586232e+00	1.000000000000000000e+00	8.400000000000000000e+01
